component_id,box_id,first_detected,assignment_method
1028,51,2025-06-15 00:35:27.174407,middle_line
1043,51,2025-06-15 00:35:29.738880,middle_line
1049,51,2025-06-15 00:35:34.112075,middle_line
1052,27,2025-06-15 00:35:34.428173,middle_line
1069,51,2025-06-15 00:35:40.830978,zone
1072,51,2025-06-15 00:35:41.318282,zone
1080,51,2025-06-15 00:35:42.902770,middle_line
1081,27,2025-06-15 00:35:43.865423,zone
1089,27,2025-06-15 00:35:45.949387,middle_line
1105,51,2025-06-15 00:35:53.515447,middle_line
1112,51,2025-06-15 00:35:54.500234,zone
1125,51,2025-06-15 00:35:58.096721,middle_line
1130,27,2025-06-15 00:36:03.671850,zone
1139,27,2025-06-15 00:36:07.028284,middle_line
1150,51,2025-06-15 00:36:15.418660,middle_line
1175,51,2025-06-15 00:36:19.922822,middle_line
1187,27,2025-06-15 00:36:24.298554,zone
1196,27,2025-06-15 00:36:25.263324,middle_line
1199,51,2025-06-15 00:36:25.903528,zone
1204,51,2025-06-15 00:36:26.544576,middle_line
1224,51,2025-06-15 00:36:30.985891,middle_line
1249,27,2025-06-15 00:36:38.260230,zone
1257,51,2025-06-15 00:36:39.820638,middle_line
1259,51,2025-06-15 00:36:40.135139,middle_line
1260,51,2025-06-15 00:36:40.618758,middle_line
1264,27,2025-06-15 00:36:41.235031,zone
1265,51,2025-06-15 00:36:41.415753,middle_line
1276,27,2025-06-15 00:36:49.850362,middle_line
1278,27,2025-06-15 00:36:50.822907,middle_line
1297,51,2025-06-15 00:36:56.127708,middle_line
1311,27,2025-06-15 00:37:02.396639,middle_line
1320,27,2025-06-15 00:37:04.044197,middle_line
1341,51,2025-06-15 00:37:10.580053,zone
1343,51,2025-06-15 00:37:11.402484,middle_line
1347,27,2025-06-15 00:37:11.895070,middle_line
1357,27,2025-06-15 00:37:14.935148,middle_line
1360,27,2025-06-15 00:37:17.960402,middle_line
1364,51,2025-06-15 00:37:20.430786,middle_line
1369,51,2025-06-15 00:37:21.408856,middle_line
1373,51,2025-06-15 00:37:22.368711,middle_line
1377,51,2025-06-15 00:37:22.879932,middle_line
1339,27,2025-06-15 00:37:23.727195,zone
1385,51,2025-06-15 00:37:24.267341,middle_line
1396,51,2025-06-15 00:37:24.946589,middle_line
1398,27,2025-06-15 00:37:25.122793,middle_line
1400,51,2025-06-15 00:37:25.290002,middle_line
1407,51,2025-06-15 00:37:27.121706,middle_line
1427,51,2025-06-15 00:37:29.220958,middle_line
1428,51,2025-06-15 00:37:29.542836,middle_line
1434,51,2025-06-15 00:37:34.010975,middle_line
1437,51,2025-06-15 00:37:34.957772,middle_line
1448,27,2025-06-15 00:37:41.598773,middle_line
1451,51,2025-06-15 00:37:41.756949,middle_line
1455,51,2025-06-15 00:37:42.089561,middle_line
1467,51,2025-06-15 00:37:44.141207,middle_line
1468,51,2025-06-15 00:37:44.141207,middle_line
1472,27,2025-06-15 00:37:44.933690,middle_line
1480,51,2025-06-15 00:37:46.208002,middle_line
1481,27,2025-06-15 00:37:46.367154,middle_line
1485,51,2025-06-15 00:37:47.644350,middle_line
1490,27,2025-06-15 00:37:49.394976,middle_line
1495,51,2025-06-15 00:37:50.354621,middle_line
1498,51,2025-06-15 00:37:52.625046,middle_line
1511,51,2025-06-15 00:37:59.250136,middle_line
1513,27,2025-06-15 00:37:59.586693,middle_line
1520,51,2025-06-15 00:38:01.662773,zone
1521,51,2025-06-15 00:38:01.836381,zone
1529,51,2025-06-15 00:38:04.873352,zone
1531,51,2025-06-15 00:38:04.873352,zone
1534,27,2025-06-15 00:38:05.662392,middle_line
1535,27,2025-06-15 00:38:06.935129,middle_line
1540,27,2025-06-15 00:38:08.372738,middle_line
1541,51,2025-06-15 00:38:08.544146,middle_line
1544,27,2025-06-15 00:38:09.918751,middle_line
1548,27,2025-06-15 00:38:12.472916,middle_line
1560,27,2025-06-15 00:38:15.114699,zone
1562,51,2025-06-15 00:38:15.114699,middle_line
1570,27,2025-06-15 00:38:17.567124,middle_line
1573,27,2025-06-15 00:38:18.756599,zone
1575,51,2025-06-15 00:38:18.956101,zone
1583,51,2025-06-15 00:38:20.134797,middle_line
1589,51,2025-06-15 00:38:20.994440,middle_line
1621,27,2025-06-15 00:38:25.330759,middle_line
1624,51,2025-06-15 00:38:25.849817,middle_line
1625,51,2025-06-15 00:38:26.384823,middle_line
1633,51,2025-06-15 00:38:28.184807,middle_line
1634,27,2025-06-15 00:38:28.184807,middle_line
1646,51,2025-06-15 00:38:29.682872,middle_line
1649,51,2025-06-15 00:38:30.019209,middle_line
1650,27,2025-06-15 00:38:30.019209,middle_line
1664,27,2025-06-15 00:38:33.929370,middle_line
1669,51,2025-06-15 00:38:34.319669,middle_line
1673,51,2025-06-15 00:38:35.924740,middle_line
1677,27,2025-06-15 00:38:36.249272,middle_line
1684,51,2025-06-15 00:38:37.552238,middle_line
1691,51,2025-06-15 00:38:38.709716,middle_line
1692,51,2025-06-15 00:38:38.897894,middle_line
1704,51,2025-06-15 00:38:41.929424,middle_line
1721,27,2025-06-15 00:38:43.975022,middle_line
1726,51,2025-06-15 00:38:44.566203,zone
1743,27,2025-06-15 00:38:46.237706,middle_line
1748,51,2025-06-15 00:38:46.529686,middle_line
1753,51,2025-06-15 00:38:46.998689,middle_line
1760,27,2025-06-15 00:38:48.060126,middle_line
1765,51,2025-06-15 00:38:48.962629,middle_line
1777,27,2025-06-15 00:38:50.641183,middle_line
1782,51,2025-06-15 00:38:51.273919,middle_line
1784,51,2025-06-15 00:38:51.618008,middle_line
1795,27,2025-06-15 00:38:53.215248,middle_line
1804,51,2025-06-15 00:38:53.854608,middle_line
1805,51,2025-06-15 00:38:53.854608,middle_line
1816,51,2025-06-15 00:38:55.096899,middle_line
1822,51,2025-06-15 00:38:55.390919,middle_line
1833,51,2025-06-15 00:38:56.970460,middle_line
1834,51,2025-06-15 00:38:58.321086,middle_line
1835,51,2025-06-15 00:38:58.787578,middle_line
1838,51,2025-06-15 00:38:59.361928,zone
1843,51,2025-06-15 00:38:59.978625,zone
1844,51,2025-06-15 00:39:00.133235,middle_line
1850,27,2025-06-15 00:39:00.596564,zone
1859,27,2025-06-15 00:39:01.196416,middle_line
1860,27,2025-06-15 00:39:01.344777,middle_line
1862,51,2025-06-15 00:39:01.496364,middle_line
1863,51,2025-06-15 00:39:01.653470,zone
1873,51,2025-06-15 00:39:03.183977,middle_line
1899,51,2025-06-15 00:39:06.335482,middle_line
1901,51,2025-06-15 00:39:06.486691,middle_line
1905,51,2025-06-15 00:39:08.520257,middle_line
1913,27,2025-06-15 00:39:09.285368,middle_line
1914,27,2025-06-15 00:39:09.285368,middle_line
1915,51,2025-06-15 00:39:09.445962,middle_line
1921,51,2025-06-15 00:39:11.231699,middle_line
1922,27,2025-06-15 00:39:11.231699,middle_line
1930,51,2025-06-15 00:39:13.249076,middle_line
1933,51,2025-06-15 00:39:13.759280,middle_line
1949,27,2025-06-15 00:39:18.062676,middle_line
1959,51,2025-06-15 00:39:19.585417,middle_line
1975,27,2025-06-15 00:39:21.467120,middle_line
1978,27,2025-06-15 00:39:22.170493,middle_line
1979,51,2025-06-15 00:39:23.269930,middle_line
1989,51,2025-06-15 00:39:24.325631,middle_line
2000,51,2025-06-15 00:39:25.956803,middle_line
2002,51,2025-06-15 00:39:26.573908,middle_line
2008,51,2025-06-15 00:39:27.165247,middle_line
2016,27,2025-06-15 00:39:28.832933,middle_line
2020,51,2025-06-15 00:40:33.001308,middle_line
2022,27,2025-06-15 00:40:34.901270,middle_line
2037,51,2025-06-15 00:40:42.213687,zone
2045,51,2025-06-15 00:40:44.204594,middle_line
2053,51,2025-06-15 00:40:45.359031,middle_line
2056,27,2025-06-15 00:40:46.252748,middle_line
2058,27,2025-06-15 00:40:46.252748,middle_line
2063,27,2025-06-15 00:40:46.691690,zone
2066,51,2025-06-15 00:40:48.132438,zone
2070,51,2025-06-15 00:40:49.276213,middle_line
2080,51,2025-06-15 00:40:50.726410,middle_line
2083,51,2025-06-15 00:40:52.351812,middle_line
2084,51,2025-06-15 00:40:52.849967,middle_line
2088,27,2025-06-15 00:40:53.329032,zone
2092,51,2025-06-15 00:40:55.111674,middle_line
2099,51,2025-06-15 00:40:58.137136,middle_line
2106,51,2025-06-15 00:40:58.801172,middle_line
2110,27,2025-06-15 00:40:59.764160,zone
2112,27,2025-06-15 00:41:00.730724,middle_line
2113,27,2025-06-15 00:41:01.063260,zone
2117,27,2025-06-15 00:41:01.699792,middle_line
2133,51,2025-06-15 00:41:05.900753,middle_line
2140,51,2025-06-15 00:41:07.339746,zone
2141,27,2025-06-15 00:41:07.339746,middle_line
2145,51,2025-06-15 00:41:08.629886,middle_line
2152,51,2025-06-15 00:41:10.576529,middle_line
2156,51,2025-06-15 00:41:12.960522,middle_line
2163,27,2025-06-15 00:41:14.551068,middle_line
2165,27,2025-06-15 00:41:15.023123,middle_line
2166,27,2025-06-15 00:41:16.935117,zone
2168,27,2025-06-15 00:41:17.259391,middle_line
2169,51,2025-06-15 00:41:17.421587,middle_line
2170,27,2025-06-15 00:41:17.745960,zone
2175,27,2025-06-15 00:41:18.558438,zone
2178,27,2025-06-15 00:41:19.687264,middle_line
2193,51,2025-06-15 00:41:25.533188,middle_line
